CUST_NUM,MTH,TARIFF_PLAN,AMT_PF
11991,10,TP5,400
11993,8,TP6,1100
11993,9,TP6,800
11993,10,TP6,1000
11998,8,TP5,800
11999,8,TP6,400
11999,9,TP3,800
11999,10,TP3,800
12,8,TP5,1200
12,8,TP6,300
12,9,TP5,1200
12,10,TP5,1600
12001,9,TP4,1200
12003,8,TP4,1200
12003,9,TP4,1200
12003,10,TP4,1200
12006,8,TP5,400
12006,9,TP5,1200
12006,10,TP5,1200
12012,8,TP4,1200
12012,9,TP4,1200
12012,10,TP4,1200
12013,8,TP3,800
12013,9,TP3,800
12013,10,TP3,800
12015,8,TP6,1300
12015,9,TP6,1900
12015,10,TP6,400
12017,8,TP4,1200
12017,9,TP4,1200
12017,10,TP4,1200
1202,8,TP6,300
1202,9,TP6,400
1202,10,TP6,600
12023,8,TP5,1600
12023,9,TP5,1600
12023,10,TP5,1600
12028,8,TP4,1200
12028,9,TP4,1200
12028,10,TP4,1200
12029,8,TP5,800
12032,10,TP5,800
12036,9,TP6,100
12036,10,TP6,300
12037,8,TP5,800
12037,9,TP5,800
12039,9,TP5,800
12040,8,TP5,1200
12040,9,TP5,400
12040,10,TP5,400
12042,8,TP4,1200
12042,9,TP4,1200
12042,10,TP4,1200
12048,8,TP4,1200
12048,9,TP4,1200
12048,10,TP4,1200
12052,10,TP4,1200
12055,8,TP4,1200
12055,9,TP4,1200
12055,10,TP4,1200
12066,8,TP4,1200
12066,9,TP4,1200
12066,10,TP4,1200
12068,8,TP5,800
12070,9,TP6,200
12072,8,TP5,400
12074,8,TP6,100
12074,10,TP6,200
12079,8,TP6,900
12079,9,TP6,600
12079,10,TP6,300
12080,8,TP5,400
12080,8,TP6,400
12080,9,TP5,800
12084,8,TP5,400
12084,10,TP5,400
12096,9,TP6,700
12096,10,TP6,1000
12103,8,TP6,800
12103,10,TP6,100
12109,8,TP6,100
12111,8,TP6,1100
12111,9,TP6,2000
12111,10,TP5,800
12111,10,TP6,1000
12117,8,TP4,1200
12117,9,TP4,1200
12117,10,TP4,1200
12119,8,TP5,800
12119,9,TP5,1200
12119,10,TP5,1600
12122,8,TP5,2000
12122,9,TP5,1600
12123,8,TP2,1200
12123,9,TP2,1200
12123,10,TP2,1200
12125,8,TP5,400
12125,8,TP6,100
12128,8,TP6,300
12131,8,TP6,600
12133,8,TP5,1600
12133,9,TP5,800
12133,10,TP5,800
12134,8,TP5,1600
12134,9,TP5,1600
12134,10,TP5,1600
12138,8,TP6,400
12140,8,TP4,1200
12140,9,TP4,1200
12140,10,TP4,1200
12141,9,TP5,400
12141,10,TP5,1600
12142,9,TP5,800
12143,10,TP4,1200
12145,8,TP6,500
12145,10,TP1,1900
