CUST_NUM,MTH,TARIFF_OPTION,AMT_PF
10682,9,PROMO_TO,3000.00
10682,10,PROMO_TO,1500.00
10682,10,STD_TO,300.00
10683,9,STD_TO,1800.00
10683,10,STD_TO,2000.00
10685,8,STD_TO,3500.00
10685,9,STD_TO,1100.00
10688,8,STD_TO,2000.00
10688,9,STD_TO,1600.00
10688,10,STD_TO,900.00
1069,8,STD_TO,1100.00
1069,9,STD_TO,300.00
10690,8,STD_TO,2100.00
10690,9,STD_TO,1100.00
10690,10,STD_TO,900.00
10694,8,PROMO_TO,500.00
10694,9,PROMO_TO,500.00
10694,10,PROMO_TO,600.00
10696,8,STD_TO,1660.00
10696,9,STD_TO,1500.00
10696,10,STD_TO,600.00
1070,8,STD_TO,530.00
1070,9,STD_TO,300.00
10701,8,STD_TO,200.00
10703,8,PROMO_TO,1000.00
10703,9,PROMO_TO,1000.00
10703,10,PROMO_TO,250.00
10704,8,PROMO_TO,1000.00
10704,9,PROMO_TO,1000.00
10704,10,PROMO_TO,1000.00
10708,8,STD_TO,900.00
10708,9,STD_TO,2700.00
10708,10,STD_TO,2700.00
1071,8,STD_TO,600.00
1071,9,STD_TO,3100.00
1071,10,STD_TO,2100.00
10713,8,STD_TO,470.00
10713,9,STD_TO,830.00
10718,9,STD_TO,350.00
10719,8,STD_TO,240.00
1072,8,STD_TO,1440.00
1072,9,PROMO_TO,750.00
1072,10,PROMO_TO,250.00
1072,10,STD_TO,600.00
10720,10,STD_TO,600.00
10722,8,STD_TO,300.00
10722,9,STD_TO,460.00
10722,10,STD_TO,600.00
10725,8,STD_TO,2560.00
10725,9,STD_TO,700.00
10725,10,STD_TO,3290.00
10727,8,STD_TO,2100.00
10727,9,STD_TO,3000.00
10727,10,STD_TO,3000.00
10729,8,STD_TO,300.00
10731,10,PROMO_TO,350.00
10732,8,STD_TO,300.00
10732,10,STD_TO,600.00
